Cota|Titlul|Autori| ISBN|Editura|Locul aparitiei|An aparitie|Observatii
co|| | | | | |
d1|Computational Mathematics|Danilina N.I.,Dubrovskaya N.S.,Kvasha O.P.,Smirnov G.L.|5-03-000275-8|Mir Publishers Moscow|Moscova|1988|      
d2|The world is build on probability|Tarasov Lev|5-03-001124-2|Mir Publishers Moscow|Moscova|1988|   
d3|Introduction in the theory of games|Szep J., Forgo F.|90-277-1404-5 MAEE 17|D.Riedel Publishing Company Dordrecht/Boston/Lancaster |Boston|1985|
d4|Modula -3|Harbison Samuel P.|0-13-596396-6|Prentice - Hall|1992    ||
d5|Approximation Theory|Cheney E.W.|Chelsea Publishing Company N.Y.|New York|1982||
d5|Analysis Of Numerical Methods|Isaacson Eugene, Keller Herbert Bishop|0 471 42865 5|John Wiley & Sons|1966    ||
d7|Managing UUCP and Usenet|O'Reilly Tim, Todino Grace|0-937175-93-5|O'Reilly and Associates|1992    ||
d8|Using Samba|Eckstein Robert, Collier - Brown David, Kelly Peter|1-56592-449-5|O'Reilly  and Associates|2000    ||
d9|Pthreads Programming|Nichols Bradford, Buttlar Dick, Proulx Farrell Jacqueline|1-56592-115-1|O'Reilly and Associates|1996    ||
d1|0|Client/Server Programming with Java and Corba|Orfali Robert, Harkey Dan|0-471-24578-x|1998|John Wiley & Sons|
d11|Practical Unix & Internet Security|Garfinkel Simson, Spafford Gene|1-56592-148-8|O'Reilly and Associates|1996    ||
d12|Java Threads|Oaks Scott, Wong Henry|1-56592-216-6|O'Reilly and Associates|1997    ||
d13|Java Network Programming|Harold Elliotte Rusty|1-56592-227-1|O'Reilly and Associates|1997    ||
d14|Java Tutorial|Campione Mary, Walrath Kathy|0-201-63454-6|Sun Microsystems|1996    ||
d15|X Toolkit Intrinsics Programming Manual|Nye Adrian, O'Reilly Tim|0-937175-56-0|O'Reilly and Associates|1990    ||
d16|X Toolkit Intrinsics Referance Manual|Flanagan David|1-56592-007-4|O'Reilly and Associates|1993    ||
d17|Systems Management Server 2003 Administrator's Companion| Kaczmarek Steven D.|0-7356-1888-7|Microsoft Press|2004    ||
d18|Microsoft Exchange Server 2003 Administrator's  Companion|Glenn Walter J., English Bill|0-7356-1979-4|Microsoft Press|2004    ||
d19|Advanced Educational Technologies|Radoiu D., Enachescu C.|973-8084-60-1|Editura Universitatii "Petru Maior"|2002   ||
d20|Knowledge Engeneering  Principles and Techniques|Frentiu Militon, Pop Horia F., Tatar Doina|978-973-610-556-2|Presa Universitara Clujana|Cluj Napoca|2007|
d21|Proceedings of the Symposium|Frentiu Militon|2006||||
d22|Advanced Educational Technologies|Enachescu C., Radoiu D.|973-8084-33-4|Editura Universitatii "Petru Maior"|2001||
d23|Calculatoare Paralele arhiectura, programare, algoritmi|Hockney R.W., Jesshope C.R.|Editura Tehnica Bucuresti|Bucuresti|1991||
d24|Tratat de programarea calculatoarelor|Knuth D. E.|Editura Tehnica Bucuresti|Bucuresti|1974||
d25|Tratat de programarea calculatoarelor|Knuth D. E.|Editura Tehnica Bucuresti|Bucuresti|1974||
d26|Tratat de programarea calculatoarelor|Knuth D. E.|Editura Tehnica Bucuresti|Bucuresti|1974||
b1|Calcul paralel|Dzitac Ioan|973-613-049-5|Editura Universitatii Oradea|Oradea|2001       |
b2|Didactica Informaticii de la teorie la practica|Magdas Ioana|978-973-555-527-6|Editura Clusium|2007        ||
b3|De la aritmetic ala calculatoare|Boian Florian Mircea|973-97535-5-8|Presa Universitara Clujana|Cluj Napoca|1996                      |
b4|Component Software- Beyond object-oriented programming|Szypersky Clemens|Edison Wesley                      ||||
b5|Inteligenta artificiala|Dumitrescu D.|Presa Universitara Clujana|Cluj Napoca|1995                      ||
b6|Modele conexioniste in inteligenta artificiala|Dumitrescu D.|Presa Universitara Clujana|Cluj Napoca|1995||
b7|HTML Publicatii web|Radoi Dumitru|973-97706-0-6|Computer Press Agora|1996||
b8|Tehnici de explorare si analiza datelor medicale|Todor Nicolae|973-9357-05-9|Editura Mediamira Cluj-Napoca|Cluj Napoca|2002                     |
b9|XML|Philips Lee Anne|973-20-0604-8|Editura Teora|Bucuresti|2001                      |
b10|Euro-Par 2003 Parallel Processing|Kosch Harald, Boszormenyi Laszlo, Hellwagner Hermann|3-540-40788-x|Springer|1998||
b11|Calculatoare Personale Unix|Pilat Florin Vladimir, Stefanescu Irina, Deaconu Sorin|973-601-063-5|Editura Teora|Bucuresti|1994                        |
b12|Advance environments, Tools And Applications for cluster computing|Grigoras Dan, Nicolau Alex, Toursel Bernard, Folliot Bertil|3-540-43672-3|Springer|2001    ||
a1|Elemente de teoria grafelor|Toadere Teodor|UBB|Cluj Napoca|1992||
a2|Piete financiare primare si secundare si operatiuni de bursa|Dragoescu Elena, Dragoescu Anton|973-96415-5-5|Editura MEsagerul|Cluj Napoca|1995|
a3|Probleme actuale in teoria limbajelor formale|Paun Gh.|Editura Stiintifica si Enciclopedica|1984|||
a4|Combinatorica si teoria grafelor - partea II|Toadere Teodor, Kasa Zoltan|UBB|Cluj Napoca|1998||
a5|Introducere in microprocesoare|Toacse Gh.|Editura Stiintifica si Enciclopedica|1998|||
a7|Prietenii matematicii|Giurgiu Ioachim|973-8141-37-0|Editura Altip|Alba Iulia|2001|
a8|Birotica editoare de texte|Robu J., Bossanyi R.|UBB|Cluj Napoca|1998||
a9|Navigand prin internet|Wyatt Allen|Editura Educational|1995 |||
a10|Combinatorica si teoria grafelor - partea I|Toadere Teodor|UBB|Cluj Napoca|1998||
a11|Arhitectura calculatoarelor|Boian Florian|UBB|Cluj Napoca|1998||
a12|Metode evoluate de programare - Partea I|Cioban Vasile|UBB|Cluj Napoca|1998||
a13|Metode evoluate de programare - Partea II|Darvay Zsolt|UBB|Cluj Napoca|1998||
a14|Integrity problem in distributed databases|Moldovan Madalina|UBB|Cluj Napoca|2004|Ph. D. Thesis Resume|
a15|Scientific Visualization|Radoiu Dumitru|973-686-645-9|Casa cartii de stiinta|Cluj Napoca|2004|
a16|Problema de matematica rezolvate cu mijloace artificiale de calcul|Gombos Iulian|973-97964-9-4|Editura Digital Data|Cluj Napoca|2000|
a17|Ghidul evaluatorului|Ministerul educatiei, cercetarii si tineretului|Bucuresti|2004|||
a18|Development methods for Intelligent Systems|Serban Gabriela|UBB|Cluj Napoca|2003|Ph. D. Thesis Resume|
a19|Ghidul evaluatorului|Ministerul educatiei, cercetarii si tineretului|Bucuresti|2002|||
a20|Ghidul evaluatorului|Ministerul educatiei, cercetarii si tineretului|Bucuresti|2003|||
a21|Prietenii matematicii|973-555-351-1|Editura Clusium|Cluj Napoca|2002||
a23|Informatizarea invatamantului|Universitatea de Stat A. Russo, Balti|Balti|1996|||
a24|Metodica predarii informaticii|Ionescu Clara|UBB|Cluj Napoca|1998||
a25|Arhitectura calculatoarelor - partea I|Boian Florian|UBB|Cluj Napoca|1998||
a28|Paradigma multifateta - suport pentru dezvoltarea aplicatiilor senzitive la context|Rarau Anca|Universitatea Tehnica|Cluj Napoca|2006|Teza de doctorat - rezumat|
a29|Probleme de teoria grafelor|Cataranciuc S., Toadere Teodor, Iacob E. M.|UBB|Cluj Napoca|1994||
a30|Probleme de teoria grafelor|Cataranciuc S., Toadere Teodor, Iacob E. M.|UBB|Cluj Napoca|1994||
a31|Initiere in utilizarea calculatoarelor|Mandras Liana|973-86685-3-0|Editura Donaris|2004||
a32|Aspecte ale elaborarii algoritmilor distribuiti- culegere de texte|Barsan Corneliu, Fortis Florin, Domocos Virgil, Iurian Simone, Zaharia Marius|Tempus|1996                      |||
a33|Retele de calculatoare- Principii| Lupsa Radu Lucian|978-973-133-377-9|Casa Cartii de stiinta Cluj|Cluj Napoca|2008  |
a34|Retele de calculatoare- Protocoale|Lupsa Radu Lucian|978-973-133-377-9|Casa Cartii de stiinta Cluj|Cluj Napoca|2008   |
a35|Limbaje de programare pentru sisteme in timp real|Davidoviciu Adrian, Barbat Boldur|Editura Tehnica|Cluj Napoca|1986  ||
a36|LISP|Giumale Cr., Preotescu D., Serbanat L.B., Tufis D., Tecuci Gh., Cristea D.|Editura Tehnica|Cluj Napoca|1987     ||
a37|LISP|Giumale Cr, Preotescu D., Serbanat L.B., Tufis D., Tecuci Gh., Cristea D. |Editura Tehnica|Cluj Napoca|1987||
a38|Zilele academice clujene 2008|Frentiu Militon|978-973-610-630-6|Editura Pesa Universitara Clujana|Cluj Napoca|2008                       |
a39|Zilele academice clujene 2008|Frentiu Militon|978-973-610-630-6|Editura Pesa Universitara Clujana|Cluj Napoca|2008                       |
a40|Zilele academice clujene 2008|Frentiu Militon|978-973-610-630-6|Editura Pesa Universitara Clujana|Cluj Napoca|2008                       |
a41|Zilele academice clujene 2008|Frentiu Militon|978-973-610-630-6|Editura Pesa Universitara Clujana|Cluj Napoca|2008                       |
a42|Zilele academice clujene 2008|Frentiu Militon|978-973-610-630-6|Editura Pesa Universitara Clujana|Cluj Napoca|2008                       |
a43|Sisteme de oprerare interactive|Boian Florian Mircea|973-964-94-1-6|Editura Ardealul Cluj|Cluj Napoca|1994                       |
a44|Sisteme de oprerare interactive|Boian Florian Mircea|973-964-94-1-6|Editura Ardealul Cluj|Cluj Napoca|1994                       |
a45|Sisteme de oprerare interactive|Boian Florian Mircea|973-964-94-1-6|Editura Ardealul Cluj|Cluj Napoca|1994                       |
a45|Sisteme de oprerare interactive|Boian Florian Mircea|973-964-94-1-6|Editura Ardealul Cluj|Cluj Napoca|1994                       |
a47|Sisteme de oprerare interactive|Boian Florian Mircea|973-964-94-1-6|Editura Ardealul Cluj|Cluj Napoca|1994                       |
a48|Sisteme de oprerare interactive|Boian Florian Mircea|973-964-94-1-6|Editura Ardealul Cluj|Cluj Napoca|1994                       |
a49|Informatica, probleme rezolvate pentru liceu si bacalaureat|Balasko Adrian, Vulpe Marius|973-35-1312-1|Editura Dacia|2002                      ||
a50|Retele Petri - teorie si practica|Jucan Toader, Tiplea Ferucio Laurentiu|973-27-0706-2|Editura Academiei Romane|Bucuresti|1999                      |
a51|Limbajul C, teorie si aplicatie|Lupea Iulian, Lupea Mihaela|973-9204-95-3|Editura Casei de Stiinta|1998                      ||
a52|Advanced educational Technology|Radoiu D., Enachescu C.|973-98726-8-9|Editura Universitatii Petru Maior|1998                       ||
a53|Arhitectura Calculatoarelor, Limbajul de Asamblare 80x86|Vancea Alexandru, Boian Florian, Bufnea Darius, Gog Anca, Sabau Andreea, Daraban Adrian|973-651-037-2|Riso Print - Cj|Cluj Napoca|2005|
a54|Arhitectura Calculatoarelor, Limbajul de Asamblare 80x86|Vancea Alexandru, Boian Florian, Bufnea Darius, Gog Anca, Sabau Andreea, Daraban Adrian|973-651-037-2|Riso Print - Cj|Cluj Napoca|2005|
a55|Programare in limbaj de asamblare 80x86 - exemple si aplicatii|Bufnea Darius, Gog Anca, Sabau Andreea, Adrian Sterca, Darabant Adrian, Vancea Alexandru|973-651-006-2|Riso Print - Cj|Cluj Napoca|2005                      |
a56|Programare in limbaj de asamblare 80x86 - exemple si aplicatii|Bufnea Darius, Gog Anca, Sabau Andreea, Adrian Sterca, Darabant Adrian, Vancea Alexandru|973-651-006-2|Riso Print - Cj|Cluj Napoca|2005                      |
a57|Sisteme de oprerare|Boian Florian, Vancea Alexandru, Bufnea Darius, Cobarzan Claudiu, Boian Rares, Sterca Adrian, Cojocar Dan|973-751-220-0|Riso Print - Cj|Cluj Napoca|2006               |
a58|Sisteme de oprerare|Boian Florian, Vancea Alexandru, Bufnea Darius, Cobarzan Claudiu, Boian Rares, Sterca Adrian, Cojocar Dan|973-751-220-0|Riso Print - Cj|Cluj Napoca|2006               |
a59|Sisteme de oprerare|Boian Florian, Vancea Alexandru, Bufnea Darius, Cobarzan Claudiu, Boian Rares, Sterca Adrian, Cojocar Dan|973-751-220-0|Riso Print - Cj|Cluj Napoca|2006               |
a60|Sisteme de oprerare|Boian Florian, Vancea Alexandru, Bufnea Darius, Cobarzan Claudiu, Boian Rares, Sterca Adrian, Cojocar Dan|973-751-220-0|Riso Print - Cj|Cluj Napoca|2006               |
a61|Consiuliul academic, proiect, realizari, perspective| Consiliul Academic|978-973-610-646-0|Presa Universitara Clujana|Cluj Napoca|2007 |
a62|Un atelier de programare|Giumale Cristian|973-87534-2-6|Computer Libris Agora|2000                      ||
a63|Un atelier de programare|Giumale Cristian|973-87534-2-6|Computer Libris Agora|2000                    ||
a64|Calcule paralele de la sisteme la programarea aplicatiilor|Grigoras Dan| 973-97534-6-9|Computer Libris Agora|2000||
a65|Calcule paralele de la sisteme la programarea aplicatiilor|Grigoras Dan| 973-97534-6-9|Computer Libris Agora|2000||
